Airline,Source,Destination,Duration,Total stops,Price,Date
Air France,NYC,PAR,7h 20m ,nonstop ,"1,031 SAR ",2022-02-01
Air France,NYC,PAR,7h 20m ,nonstop ,"1,031 SAR ",2022-02-01
Air France,NYC,PAR,7h 20m ,nonstop ,"1,031 SAR ",2022-02-01
Air France,NYC,PAR,7h 10m ,nonstop ,"1,238 SAR ",2022-02-01
Air France,NYC,PAR,7h 20m ,nonstop ,"1,238 SAR ",2022-02-01
Air France,NYC,PAR,7h 30m ,nonstop ,"1,238 SAR ",2022-02-01
Air France,NYC,PAR,7h 30m ,nonstop ,"1,238 SAR ",2022-02-01
Lufthansa,NYC,PAR,7h 05m ,nonstop ,"1,353 SAR ",2022-02-01
American Airlines,NYC,PAR,7h 20m ,nonstop ,"1,353 SAR ",2022-02-01
United Airlines,NYC,PAR,7h 05m ,nonstop ,"1,358 SAR ",2022-02-01
JetBlue,NYC,PAR,7h 20m ,nonstop ,"1,634 SAR ",2022-02-01
TAP AIR PORTUGAL,NYC,PAR,10h 55m ,1 stop ,"1,027 SAR ",2022-02-01
"Finnair, Iberia",NYC,PAR,10h 55m ,1 stop ,"1,080 SAR ",2022-02-01
"Finnair, Air France",NYC,PAR,10h 15m ,1 stop ,"1,193 SAR ",2022-02-01
SAS,NYC,PAR,11h 00m ,1 stop ,"1,315 SAR ",2022-02-01
"TAP AIR PORTUGAL, Vueling",NYC,PAR,16h 35m ,1 stop ,"1,007 SAR ",2022-02-01
"Finnair, Air Europa",NYC,PAR,16h 20m ,1 stop ,"1,039 SAR ",2022-02-01
"TAP AIR PORTUGAL, Transavia France",NYC,PAR,12h 50m ,1 stop ,"1,063 SAR ",2022-02-01
"Finnair, Iberia",NYC,PAR,10h 55m ,1 stop ,"1,080 SAR ",2022-02-01
"Finnair, Iberia",NYC,PAR,13h 40m ,1 stop ,"1,080 SAR ",2022-02-01
"Finnair, Air France",NYC,PAR,10h 15m ,1 stop ,"1,193 SAR ",2022-02-01
"Finnair, Air France",NYC,PAR,11h 35m ,1 stop ,"1,257 SAR ",2022-02-01
SAS,NYC,PAR,11h 00m ,1 stop ,"1,315 SAR ",2022-02-01
United Airlines,NYC,PAR,9h 05m ,1 stop ,"1,358 SAR ",2022-02-01
United Airlines,NYC,PAR,10h 09m ,1 stop ,"1,358 SAR ",2022-02-01
United Airlines,NYC,PAR,10h 23m ,1 stop ,"1,358 SAR ",2022-02-01
United Airlines,NYC,PAR,10h 50m ,1 stop ,"1,358 SAR ",2022-02-01
United Airlines,NYC,PAR,11h 00m ,1 stop ,"1,358 SAR ",2022-02-01
United Airlines,NYC,PAR,11h 40m ,1 stop ,"1,358 SAR ",2022-02-01
United Airlines,NYC,PAR,11h 55m ,1 stop ,"1,358 SAR ",2022-02-01
United Airlines,NYC,PAR,12h 40m ,1 stop ,"1,358 SAR ",2022-02-01
United Airlines,NYC,PAR,12h 41m ,1 stop ,"1,358 SAR ",2022-02-01
Delta,NYC,PAR,10h 10m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 00m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 05m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 25m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 30m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 40m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 40m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 45m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 46m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,11h 55m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,12h 10m ,1 stop ,"1,370 SAR ",2022-02-01
Delta,NYC,PAR,12h 20m ,1 stop ,"1,370 SAR ",2022-02-01
