Airline,Source,Destination,Duration,Total stops,Price,Date
Etihad Airways,NYC,RUH,15h 45m ,1 stop ,"2,173 SAR ",2022-02-01
Etihad Airways,NYC,RUH,15h 45m ,1 stop ,"2,078 SAR ",2022-02-01
Etihad Airways,NYC,RUH,21h 55m ,1 stop ,"2,078 SAR ",2022-02-01
Egypt Air,NYC,RUH,18h 40m ,1 stop ,"2,479 SAR ",2022-02-01
Royal Jordanian,NYC,RUH,14h 10m ,1 stop ,"2,570 SAR ",2022-02-01
Qatar Airways,NYC,RUH,20h 15m ,1 stop ,"2,523 SAR ",2022-02-01
Qatar Airways,NYC,RUH,21h 10m ,1 stop ,"2,523 SAR ",2022-02-01
Royal Jordanian,NYC,RUH,21h 00m ,1 stop ,"2,570 SAR ",2022-02-01
Ethiopian Air,NYC,RUH,21h 40m ,1 stop ,"2,815 SAR ",2022-02-01
Lufthansa,NYC,RUH,16h 10m ,1 stop ,"3,512 SAR ",2022-02-01
"United Airlines, Lufthansa",NYC,RUH,16h 10m ,1 stop ,"3,557 SAR ",2022-02-01
Turkish Airlines,NYC,RUH,21h 25m ,1 stop ,"2,944 SAR ",2022-02-01
Turkish Airlines,NYC,RUH,22h 15m ,1 stop ,"2,944 SAR ",2022-02-01
"American Airlines, Qatar Airways",NYC,RUH,20h 15m ,1 stop ,"3,074 SAR ",2022-02-01
Lufthansa,NYC,RUH,17h 35m ,1 stop ,"3,492 SAR ",2022-02-01
Lufthansa,NYC,RUH,19h 55m ,1 stop ,"3,492 SAR ",2022-02-01
"United Airlines, Lufthansa",NYC,RUH,17h 35m ,1 stop ,"3,557 SAR ",2022-02-01
"United Airlines, Lufthansa",NYC,RUH,19h 55m ,1 stop ,"3,557 SAR ",2022-02-01
KLM,NYC,RUH,17h 50m ,1 stop ,"3,759 SAR ",2022-02-01
KLM,NYC,RUH,19h 50m ,1 stop ,"3,759 SAR ",2022-02-01
Emirates,NYC,RUH,20h 05m ,1 stop ,"3,759 SAR ",2022-02-01
Emirates,NYC,RUH,18h 30m ,1 stop ,"3,790 SAR ",2022-02-01
Emirates,NYC,RUH,19h 25m ,1 stop ,"3,790 SAR ",2022-02-01
"Emirates, flynas",NYC,RUH,17h 45m ,1 stop ,"3,743 SAR ",2022-02-01
KLM,NYC,RUH,20h 45m ,1 stop ,"3,759 SAR ",2022-02-01
Emirates,NYC,RUH,24h 05m ,1 stop ,"3,790 SAR ",2022-02-01
"Virgin Atlantic, SAUDIA",NYC,RUH,16h 14m ,1 stop ,"7,486 SAR ",2022-02-01
"American Airlines, British Airways",NYC,RUH,15h 35m ,1 stop ,"7,633 SAR ",2022-02-01
British Airways,NYC,RUH,15h 35m ,1 stop ,"7,656 SAR ",2022-02-01
Multiple Airlines,NYC,RUH,21h 20m ,2 stops ,"2,508 SAR ",2022-02-01
Ethiopian Air,NYC,RUH,21h 40m ,2 stops ,"2,605 SAR ",2022-02-01
"Egypt Air, flyadeal",NYC,RUH,19h 05m ,2 stops ,"2,746 SAR ",2022-02-01
"Egypt Air, flynas",NYC,RUH,18h 35m ,2 stops ,"2,757 SAR ",2022-02-01
Ethiopian Air,NYC,RUH,21h 40m ,2 stops ,"2,793 SAR ",2022-02-01
Qatar Airways,NYC,RUH,23h 40m ,2 stops ,"3,160 SAR ",2022-02-01
"Emirates, Egypt Air",NYC,RUH,20h 40m ,2 stops ,"3,171 SAR ",2022-02-01
"Air France, Royal Jordanian",NYC,RUH,18h 20m ,2 stops ,"3,185 SAR ",2022-02-01
Air Canada,NYC,RUH,20h 00m ,2 stops ,"3,403 SAR ",2022-02-01
Air Canada,NYC,RUH,20h 10m ,2 stops ,"3,403 SAR ",2022-02-01
Air Canada,NYC,RUH,21h 14m ,2 stops ,"3,403 SAR ",2022-02-01
Air Canada,NYC,RUH,23h 00m ,2 stops ,"3,403 SAR ",2022-02-01
Air Canada,NYC,RUH,21h 40m ,2 stops ,"3,410 SAR ",2022-02-01
Air Canada,NYC,RUH,21h 45m ,2 stops ,"3,410 SAR ",2022-02-01
Air Canada,NYC,RUH,22h 40m ,2 stops ,"3,410 SAR ",2022-02-01
Air Canada,NYC,RUH,23h 25m ,2 stops ,"3,410 SAR ",2022-02-01
Air Canada,NYC,RUH,17h 05m ,2 stops ,"3,424 SAR ",2022-02-01
Air Canada,NYC,RUH,17h 15m ,2 stops ,"3,424 SAR ",2022-02-01
Air Canada,NYC,RUH,18h 05m ,2 stops ,"3,424 SAR ",2022-02-01
Air Canada,NYC,RUH,19h 05m ,2 stops ,"3,424 SAR ",2022-02-01
"Egypt Air, Gulf Air",NYC,RUH,18h 10m ,2 stops ,"3,425 SAR ",2022-02-01
SWISS,NYC,RUH,17h 30m ,2 stops ,"3,488 SAR ",2022-02-01
