Airline,Source,Destination,Duration,Total stops,Price,Date
Aeroflot,NYC,SVO,9h 00m ,nonstop ,"1,282 SAR ",2022-02-01
Aeroflot,NYC,SVO,9h 00m ,nonstop ,"1,203 SAR ",2022-02-01
Aeroflot,NYC,SVO,9h 00m ,nonstop ,"1,203 SAR ",2022-02-01
Delta,NYC,SVO,11h 30m ,1 stop ,"1,397 SAR ",2022-02-01
Delta,NYC,SVO,12h 35m ,1 stop ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,13h 30m ,1 stop ,"1,397 SAR ",2022-02-01
Delta,NYC,SVO,14h 25m ,1 stop ,"1,397 SAR ",2022-02-01
Delta,NYC,SVO,13h 35m ,1 stop ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,14h 35m ,1 stop ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,17h 20m ,1 stop ,"1,414 SAR ",2022-02-01
"Finnair, Aeroflot",NYC,SVO,15h 15m ,1 stop ,"1,796 SAR ",2022-02-01
"American Airlines, Finnair",NYC,SVO,12h 20m ,1 stop ,"1,935 SAR ",2022-02-01
LOT,NYC,SVO,13h 35m ,1 stop ,"2,262 SAR ",2022-02-01
KLM,NYC,SVO,11h 30m ,1 stop ,"2,358 SAR ",2022-02-01
Delta,NYC,SVO,15h 00m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,17h 00m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,17h 00m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,17h 00m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,17h 20m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,17h 50m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,18h 01m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,18h 01m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,18h 15m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,18h 40m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,18h 40m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,19h 00m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,19h 00m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,19h 15m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,19h 15m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,19h 15m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,19h 30m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,19h 30m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,19h 30m ,2 stops ,"1,414 SAR ",2022-02-01
Delta,NYC,SVO,15h 55m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,16h 00m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,16h 45m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,17h 05m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,17h 20m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,17h 20m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,17h 35m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,17h 50m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,17h 50m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,17h 50m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,18h 35m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,18h 54m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,18h 55m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,19h 05m ,2 stops ,"1,431 SAR ",2022-02-01
Delta,NYC,SVO,19h 20m ,2 stops ,"1,431 SAR ",2022-02-01
"SWISS, Aeroflot",NYC,SVO,16h 35m ,2 stops ,"1,544 SAR ",2022-02-01
"SWISS, Aeroflot",NYC,SVO,17h 35m ,2 stops ,"1,544 SAR ",2022-02-01
"JetBlue, Aeroflot",NYC,SVO,17h 05m ,1 stop ,"1,914 SAR ",2022-02-01
"JetBlue, Aeroflot",NYC,SVO,17h 35m ,1 stop ,"1,914 SAR ",2022-02-01
