Airline,Source,Destination,Duration,Total stops,Price,Date
TAP AIR PORTUGAL,PAR,NYC,12h 50m ,1 stop ,"1,423 SAR ",2022-02-01
Iberia,PAR,NYC,8h 40m ,nonstop ,"1,547 SAR ",2022-02-01
"Air Transat, Air Canada",PAR,NYC,11h 39m ,1 stop ,"1,205 SAR ",2022-02-01
Brussels Airlines,PAR,NYC,8h 20m ,nonstop ,"1,636 SAR ",2022-02-01
Air France,PAR,NYC,8h 25m ,nonstop ,"1,675 SAR ",2022-02-01
"Air Transat, Air Canada",PAR,NYC,11h 51m ,1 stop ,"1,279 SAR ",2022-02-01
"Air Transat, Air Canada",PAR,NYC,13h 54m ,1 stop ,"1,352 SAR ",2022-02-01
"Air Transat, Air Canada",PAR,NYC,11h 51m ,1 stop ,"1,357 SAR ",2022-02-01
TAP AIR PORTUGAL,PAR,NYC,12h 50m ,1 stop ,"1,423 SAR ",2022-02-01
TAP AIR PORTUGAL,PAR,NYC,13h 30m ,1 stop ,"1,423 SAR ",2022-02-01
TAP AIR PORTUGAL,PAR,NYC,14h 50m ,1 stop ,"1,423 SAR ",2022-02-01
Icelandair,PAR,NYC,11h 00m ,1 stop ,"1,455 SAR ",2022-02-01
Icelandair,PAR,NYC,11h 00m ,1 stop ,"1,455 SAR ",2022-02-01
"Vueling, Finnair",PAR,NYC,12h 40m ,1 stop ,"1,489 SAR ",2022-02-01
Brussels Airlines,PAR,NYC,10h 45m ,1 stop ,"1,490 SAR ",2022-02-01
SWISS,PAR,NYC,11h 20m ,1 stop ,"1,492 SAR ",2022-02-01
SWISS,PAR,NYC,11h 35m ,1 stop ,"1,492 SAR ",2022-02-01
SWISS,PAR,NYC,12h 10m ,1 stop ,"1,492 SAR ",2022-02-01
"Iberia Express, Finnair",PAR,NYC,13h 05m ,1 stop ,"1,499 SAR ",2022-02-01
Iberia,PAR,NYC,13h 00m ,1 stop ,"1,543 SAR ",2022-02-01
KLM,PAR,NYC,11h 00m ,1 stop ,"1,558 SAR ",2022-02-01
Iberia,PAR,NYC,12h 50m ,1 stop ,"1,573 SAR ",2022-02-01
Aer Lingus,PAR,NYC,12h 05m ,1 stop ,"1,587 SAR ",2022-02-01
Iberia,PAR,NYC,12h 50m ,1 stop ,"1,589 SAR ",2022-02-01
Iberia,PAR,NYC,13h 35m ,1 stop ,"1,589 SAR ",2022-02-01
Iberia,PAR,NYC,14h 00m ,1 stop ,"1,589 SAR ",2022-02-01
"Iberia, Finnair",PAR,NYC,12h 50m ,1 stop ,"1,626 SAR ",2022-02-01
"Iberia, Finnair",PAR,NYC,14h 00m ,1 stop ,"1,637 SAR ",2022-02-01
SWISS,PAR,NYC,12h 15m ,1 stop ,"1,644 SAR ",2022-02-01
Lufthansa,PAR,NYC,11h 00m ,1 stop ,"1,740 SAR ",2022-02-01
"Lufthansa, Air Canada",PAR,NYC,10h 06m ,1 stop ,"1,770 SAR ",2022-02-01
Lufthansa,PAR,NYC,12h 35m ,1 stop ,"1,790 SAR ",2022-02-01
Air Canada,PAR,NYC,11h 31m ,1 stop ,"1,876 SAR ",2022-02-01
"Air Transat, Air Canada",PAR,NYC,16h 21m ,1 stop ,"1,421 SAR ",2022-02-01
TAP AIR PORTUGAL,PAR,NYC,17h 10m ,1 stop ,"1,423 SAR ",2022-02-01
TAP AIR PORTUGAL,PAR,NYC,20h 10m ,1 stop ,"1,423 SAR ",2022-02-01
"Air Europa, Finnair",PAR,NYC,15h 20m ,1 stop ,"1,564 SAR ",2022-02-01
Iberia,PAR,NYC,14h 00m ,1 stop ,"1,582 SAR ",2022-02-01
Iberia,PAR,NYC,15h 10m ,1 stop ,"1,589 SAR ",2022-02-01
Iberia,PAR,NYC,16h 05m ,1 stop ,"1,589 SAR ",2022-02-01
Iberia,PAR,NYC,17h 55m ,1 stop ,"1,591 SAR ",2022-02-01
Iberia,PAR,NYC,18h 25m ,1 stop ,"1,591 SAR ",2022-02-01
"Vueling, Lufthansa",PAR,NYC,13h 10m ,1 stop ,"1,666 SAR ",2022-02-01
Aer Lingus,PAR,NYC,15h 10m ,1 stop ,"1,675 SAR ",2022-02-01
Turkish Airlines,PAR,NYC,17h 35m ,1 stop ,"1,689 SAR ",2022-02-01
"Air France, Lufthansa",PAR,NYC,13h 00m ,1 stop ,"1,744 SAR ",2022-02-01
"Vueling, Air France",PAR,NYC,14h 15m ,1 stop ,"1,832 SAR ",2022-02-01
Air France,PAR,NYC,14h 05m ,1 stop ,"1,914 SAR ",2022-02-01
Air Canada,PAR,NYC,12h 09m ,1 stop ,"1,928 SAR ",2022-02-01
Air Canada,PAR,NYC,13h 19m ,1 stop ,"1,928 SAR ",2022-02-01
"Ryanair, TAP AIR PORTUGAL",PAR,NYC,16h 20m ,1 stop ,"1,997 SAR ",2022-02-01
Air Canada,PAR,NYC,14h 36m ,1 stop ,"1,998 SAR ",2022-02-01
Air Canada,PAR,NYC,12h 09m ,1 stop ,"2,026 SAR ",2022-02-01
"Vueling, TAP AIR PORTUGAL",PAR,NYC,14h 30m ,1 stop ,"2,071 SAR ",2022-02-01
British Airways,PAR,NYC,12h 20m ,1 stop ,"2,154 SAR ",2022-02-01
British Airways,PAR,NYC,12h 25m ,1 stop ,"2,175 SAR ",2022-02-01
British Airways,PAR,NYC,12h 40m ,1 stop ,"2,175 SAR ",2022-02-01
British Airways,PAR,NYC,12h 40m ,1 stop ,"2,271 SAR ",2022-02-01
KLM,PAR,NYC,12h 45m ,1 stop ,"2,531 SAR ",2022-02-01
United Airlines,PAR,NYC,8h 20m ,nonstop ,"5,773 SAR ",2022-02-01
"Ryanair, TAP AIR PORTUGAL",PAR,NYC,19h 10m ,2 stops ,"1,210 SAR ",2022-02-01
"Vueling, TAP AIR PORTUGAL",PAR,NYC,17h 30m ,2 stops ,"1,275 SAR ",2022-02-01
"Vueling, TAP AIR PORTUGAL",PAR,NYC,17h 20m ,2 stops ,"1,352 SAR ",2022-02-01
Multiple Airlines,PAR,NYC,19h 40m ,2 stops ,"1,555 SAR ",2022-02-01
Multiple Airlines,PAR,NYC,18h 25m ,2 stops ,"1,616 SAR ",2022-02-01
"Vueling, Iberia",PAR,NYC,18h 25m ,2 stops ,"1,625 SAR ",2022-02-01
Multiple Airlines,PAR,NYC,16h 21m ,2 stops ,"1,656 SAR ",2022-02-01
Multiple Airlines,PAR,NYC,17h 51m ,2 stops ,"1,664 SAR ",2022-02-01
"Vueling, Finnair",PAR,NYC,12h 55m ,1 stop ,"2,213 SAR ",2022-02-01
LOT,PAR,NYC,15h 45m ,1 stop ,"3,941 SAR ",2022-02-01
LOT,PAR,NYC,19h 25m ,1 stop ,"3,941 SAR ",2022-02-01
Qatar Airways,PAR,NYC,22h 10m ,1 stop ,"4,012 SAR ",2022-02-01
Lufthansa,PAR,NYC,12h 30m ,1 stop ,"4,550 SAR ",2022-02-01
Lufthansa,PAR,NYC,12h 35m ,1 stop ,"4,550 SAR ",2022-02-01
Lufthansa,PAR,NYC,10h 55m ,1 stop ,"4,553 SAR ",2022-02-01
Lufthansa,PAR,NYC,11h 15m ,1 stop ,"4,553 SAR ",2022-02-01
Lufthansa,PAR,NYC,11h 55m ,1 stop ,"4,553 SAR ",2022-02-01
Lufthansa,PAR,NYC,12h 15m ,1 stop ,"4,553 SAR ",2022-02-01
Lufthansa,PAR,NYC,13h 30m ,1 stop ,"4,553 SAR ",2022-02-01
Multiple Airlines,PAR,NYC,34h 55m ,2 stops ,"1,603 SAR ",2022-02-01
Multiple Airlines,PAR,NYC,17h 36m ,2 stops ,"1,976 SAR ",2022-02-01
"Icelandair, JetBlue",PAR,NYC,14h 31m ,2 stops ,"2,931 SAR ",2022-02-01
Air Canada,PAR,NYC,14h 24m ,1 stop ,"5,564 SAR ",2022-02-01
Air Canada,PAR,NYC,12h 30m ,1 stop ,"5,586 SAR ",2022-02-01
Air Canada,PAR,NYC,12h 41m ,1 stop ,"5,586 SAR ",2022-02-01
Air Canada,PAR,NYC,13h 21m ,1 stop ,"5,586 SAR ",2022-02-01
Air Canada,PAR,NYC,14h 16m ,1 stop ,"5,586 SAR ",2022-02-01
Air Canada,PAR,NYC,14h 30m ,1 stop ,"5,586 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 26m ,1 stop ,"5,586 SAR ",2022-02-01
Air Canada,PAR,NYC,17h 01m ,1 stop ,"5,586 SAR ",2022-02-01
Air Canada,PAR,NYC,17h 05m ,1 stop ,"5,586 SAR ",2022-02-01
Air Canada,PAR,NYC,13h 44m ,2 stops ,"5,607 SAR ",2022-02-01
Air Canada,PAR,NYC,14h 54m ,2 stops ,"5,607 SAR ",2022-02-01
Air Canada,PAR,NYC,14h 54m ,2 stops ,"5,607 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 59m ,2 stops ,"5,607 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 59m ,2 stops ,"5,607 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 59m ,2 stops ,"5,607 SAR ",2022-02-01
Air Canada,PAR,NYC,16h 11m ,2 stops ,"5,607 SAR ",2022-02-01
Air Canada,PAR,NYC,16h 11m ,2 stops ,"5,607 SAR ",2022-02-01
Air Canada,PAR,NYC,16h 11m ,2 stops ,"5,607 SAR ",2022-02-01
Lufthansa,PAR,NYC,13h 45m ,1 stop ,"5,609 SAR ",2022-02-01
Lufthansa,PAR,NYC,15h 30m ,1 stop ,"5,609 SAR ",2022-02-01
Lufthansa,PAR,NYC,15h 55m ,1 stop ,"5,609 SAR ",2022-02-01
SWISS,PAR,NYC,14h 40m ,1 stop ,"5,612 SAR ",2022-02-01
SWISS,PAR,NYC,16h 30m ,1 stop ,"5,612 SAR ",2022-02-01
SWISS,PAR,NYC,19h 00m ,1 stop ,"5,612 SAR ",2022-02-01
Lufthansa,PAR,NYC,16h 00m ,1 stop ,"5,637 SAR ",2022-02-01
Austrian Airlines,PAR,NYC,13h 20m ,1 stop ,"5,641 SAR ",2022-02-01
Lufthansa,PAR,NYC,20h 45m ,1 stop ,"5,705 SAR ",2022-02-01
United Airlines,PAR,NYC,10h 45m ,1 stop ,"5,730 SAR ",2022-02-01
United Airlines,PAR,NYC,11h 15m ,1 stop ,"5,736 SAR ",2022-02-01
United Airlines,PAR,NYC,12h 15m ,1 stop ,"5,736 SAR ",2022-02-01
United Airlines,PAR,NYC,15h 15m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,15h 38m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,15h 45m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,16h 03m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,16h 08m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,16h 33m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,16h 49m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,17h 19m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,17h 19m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,17h 49m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,18h 15m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,18h 38m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,18h 46m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,19h 03m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,19h 16m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,20h 19m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,20h 19m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,20h 49m ,2 stops ,"5,751 SAR ",2022-02-01
United Airlines,PAR,NYC,15h 04m ,2 stops ,"5,757 SAR ",2022-02-01
United Airlines,PAR,NYC,18h 14m ,2 stops ,"5,757 SAR ",2022-02-01
United Airlines,PAR,NYC,10h 54m ,1 stop ,"5,777 SAR ",2022-02-01
United Airlines,PAR,NYC,17h 18m ,2 stops ,"5,794 SAR ",2022-02-01
"Lufthansa, United Airlines",PAR,NYC,16h 20m ,2 stops ,"5,796 SAR ",2022-02-01
Air Canada,PAR,NYC,13h 51m ,2 stops ,"5,798 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 26m ,2 stops ,"5,798 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 26m ,2 stops ,"5,798 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 26m ,2 stops ,"5,798 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 30m ,2 stops ,"5,798 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 30m ,2 stops ,"5,798 SAR ",2022-02-01
Air Canada,PAR,NYC,15h 30m ,2 stops ,"5,798 SAR ",2022-02-01
Austrian Airlines,PAR,NYC,18h 15m ,2 stops ,"5,827 SAR ",2022-02-01
Austrian Airlines,PAR,NYC,20h 15m ,2 stops ,"5,827 SAR ",2022-02-01
SWISS,PAR,NYC,15h 30m ,2 stops ,"5,839 SAR ",2022-02-01
SWISS,PAR,NYC,17h 30m ,2 stops ,"5,839 SAR ",2022-02-01
SWISS,PAR,NYC,17h 30m ,2 stops ,"5,839 SAR ",2022-02-01
SWISS,PAR,NYC,18h 00m ,2 stops ,"5,839 SAR ",2022-02-01
SWISS,PAR,NYC,18h 00m ,2 stops ,"5,839 SAR ",2022-02-01
SWISS,PAR,NYC,20h 00m ,2 stops ,"5,839 SAR ",2022-02-01
SWISS,PAR,NYC,20h 00m ,2 stops ,"5,839 SAR ",2022-02-01
SWISS,PAR,NYC,20h 00m ,2 stops ,"5,839 SAR ",2022-02-01
SWISS,PAR,NYC,13h 15m ,2 stops ,"5,879 SAR ",2022-02-01
SWISS,PAR,NYC,11h 15m ,1 stop ,"5,901 SAR ",2022-02-01
SWISS,PAR,NYC,15h 25m ,2 stops ,"6,027 SAR ",2022-02-01
Air Europa,PAR,NYC,22h 40m ,1 stop ,"6,466 SAR ",2022-02-01
La Compagnie,PAR,NYC,8h 30m ,nonstop ,"8,953 SAR ",2022-02-01
Delta,PAR,NYC,11h 05m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,11h 30m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,12h 00m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,12h 20m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,13h 45m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,13h 45m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,14h 40m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,15h 10m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,16h 00m ,1 stop ,"9,975 SAR ",2022-02-01
Delta,PAR,NYC,16h 25m ,1 stop ,"9,975 SAR ",2022-02-01
British Airways,PAR,NYC,10h 20m ,1 stop ,"9,994 SAR ",2022-02-01
British Airways,PAR,NYC,10h 55m ,1 stop ,"9,994 SAR ",2022-02-01
British Airways,PAR,NYC,11h 30m ,1 stop ,"9,994 SAR ",2022-02-01
American Airlines,PAR,NYC,13h 35m ,1 stop ,"10,000 SAR ",2022-02-01
Delta,PAR,NYC,8h 35m ,nonstop ,"10,008 SAR ",2022-02-01
Delta,PAR,NYC,8h 40m ,nonstop ,"10,008 SAR ",2022-02-01
Delta,PAR,NYC,8h 40m ,nonstop ,"10,008 SAR ",2022-02-01
Delta,PAR,NYC,8h 40m ,nonstop ,"10,008 SAR ",2022-02-01
Delta,PAR,NYC,8h 45m ,nonstop ,"10,008 SAR ",2022-02-01
Delta,PAR,NYC,8h 45m ,nonstop ,"10,008 SAR ",2022-02-01
American Airlines,PAR,NYC,10h 50m ,1 stop ,"10,015 SAR ",2022-02-01
American Airlines,PAR,NYC,11h 20m ,1 stop ,"10,015 SAR ",2022-02-01
American Airlines,PAR,NYC,11h 25m ,1 stop ,"10,015 SAR ",2022-02-01
American Airlines,PAR,NYC,11h 40m ,1 stop ,"10,015 SAR ",2022-02-01
American Airlines,PAR,NYC,12h 20m ,1 stop ,"10,015 SAR ",2022-02-01
American Airlines,PAR,NYC,12h 40m ,1 stop ,"10,015 SAR ",2022-02-01
American Airlines,PAR,NYC,13h 10m ,1 stop ,"10,015 SAR ",2022-02-01
American Airlines,PAR,NYC,13h 50m ,1 stop ,"10,015 SAR ",2022-02-01
KLM,PAR,NYC,13h 45m ,1 stop ,"10,020 SAR ",2022-02-01
KLM,PAR,NYC,17h 25m ,1 stop ,"10,020 SAR ",2022-02-01
KLM,PAR,NYC,18h 20m ,1 stop ,"10,020 SAR ",2022-02-01
American Airlines,PAR,NYC,14h 00m ,1 stop ,"10,022 SAR ",2022-02-01
American Airlines,PAR,NYC,17h 55m ,1 stop ,"10,022 SAR ",2022-02-01
American Airlines,PAR,NYC,21h 10m ,1 stop ,"10,022 SAR ",2022-02-01
Delta,PAR,NYC,11h 11m ,1 stop ,"10,029 SAR ",2022-02-01
Delta,PAR,NYC,11h 19m ,1 stop ,"10,029 SAR ",2022-02-01
Delta,PAR,NYC,12h 08m ,1 stop ,"10,029 SAR ",2022-02-01
Delta,PAR,NYC,14h 07m ,1 stop ,"10,029 SAR ",2022-02-01
"Iberia, Finnair",PAR,NYC,15h 10m ,1 stop ,"10,031 SAR ",2022-02-01
"Iberia, Finnair",PAR,NYC,16h 05m ,1 stop ,"10,031 SAR ",2022-02-01
Iberia,PAR,NYC,21h 10m ,1 stop ,"10,031 SAR ",2022-02-01
Iberia,PAR,NYC,17h 20m ,1 stop ,"10,036 SAR ",2022-02-01
Iberia,PAR,NYC,20h 35m ,1 stop ,"10,036 SAR ",2022-02-01
American Airlines,PAR,NYC,13h 50m ,1 stop ,"10,037 SAR ",2022-02-01
American Airlines,PAR,NYC,14h 25m ,1 stop ,"10,037 SAR ",2022-02-01
American Airlines,PAR,NYC,15h 00m ,1 stop ,"10,037 SAR ",2022-02-01
American Airlines,PAR,NYC,15h 20m ,1 stop ,"10,037 SAR ",2022-02-01
British Airways,PAR,NYC,10h 50m ,1 stop ,"10,045 SAR ",2022-02-01
British Airways,PAR,NYC,11h 25m ,1 stop ,"10,045 SAR ",2022-02-01
British Airways,PAR,NYC,13h 50m ,1 stop ,"10,045 SAR ",2022-02-01
American Airlines,PAR,NYC,15h 10m ,2 stops ,"10,058 SAR ",2022-02-01
American Airlines,PAR,NYC,16h 13m ,2 stops ,"10,058 SAR ",2022-02-01
American Airlines,PAR,NYC,16h 13m ,2 stops ,"10,058 SAR ",2022-02-01
American Airlines,PAR,NYC,16h 14m ,2 stops ,"10,058 SAR ",2022-02-01
American Airlines,PAR,NYC,16h 50m ,2 stops ,"10,058 SAR ",2022-02-01
American Airlines,PAR,NYC,17h 15m ,2 stops ,"10,058 SAR ",2022-02-01
American Airlines,PAR,NYC,17h 15m ,2 stops ,"10,058 SAR ",2022-02-01
