Airline,Source,Destination,Duration,Total stops,Price,Date
Lufthansa,PAR,RUH,9h 10m ,1 stop ,"1,575 SAR ",2/1/2022
SAUDIA,PAR,RUH,5h 50m ,nonstop ,"2,168 SAR ",2/1/2022
"Ryanair, flynas",PAR,RUH,38h 05m ,3 stops ,"1,069 SAR ",2/1/2022
Lufthansa,PAR,RUH,9h 10m ,1 stop ,"1,544 SAR ",2/1/2022
Lufthansa,PAR,RUH,10h 10m ,1 stop ,"1,544 SAR ",2/1/2022
Egypt Air,PAR,RUH,10h 50m ,1 stop ,"1,599 SAR ",2/1/2022
"Transavia France, SAUDIA",PAR,RUH,10h 55m ,1 stop ,"1,720 SAR ",2/1/2022
Turkish Airlines,PAR,RUH,9h 05m ,1 stop ,"1,811 SAR ",2/1/2022
Turkish Airlines,PAR,RUH,11h 55m ,1 stop ,"1,811 SAR ",2/1/2022
Turkish Airlines,PAR,RUH,16h 40m ,1 stop ,"1,811 SAR ",2/1/2022
"Air Europa, SAUDIA",PAR,RUH,10h 55m ,1 stop ,"1,960 SAR ",2/1/2022
British Airways,PAR,RUH,9h 00m ,1 stop ,"2,018 SAR ",2/1/2022
"Iberia Express, SAUDIA",PAR,RUH,13h 00m ,1 stop ,"1,854 SAR ",2/1/2022
"Transavia France, MEA",PAR,RUH,10h 10m ,1 stop ,"1,997 SAR ",2/1/2022
British Airways,PAR,RUH,10h 10m ,1 stop ,"2,018 SAR ",2/1/2022
British Airways,PAR,RUH,13h 35m ,1 stop ,"2,018 SAR ",2/1/2022
"Iberia, SAUDIA",PAR,RUH,10h 45m ,1 stop ,"2,024 SAR ",2/1/2022
Etihad Airways,PAR,RUH,11h 00m ,1 stop ,"2,098 SAR ",2/1/2022
Emirates,PAR,RUH,10h 00m ,1 stop ,"2,300 SAR ",2/1/2022
Emirates,PAR,RUH,14h 25m ,1 stop ,"2,300 SAR ",2/1/2022
Emirates,PAR,RUH,15h 35m ,1 stop ,"2,300 SAR ",2/1/2022
Emirates,PAR,RUH,16h 25m ,1 stop ,"2,300 SAR ",2/1/2022
Emirates,PAR,RUH,19h 15m ,1 stop ,"2,300 SAR ",2/1/2022
SAUDIA,PAR,RUH,10h 00m ,1 stop ,"2,344 SAR ",2/1/2022
SAUDIA,PAR,RUH,12h 55m ,1 stop ,"2,344 SAR ",2/1/2022
SAUDIA,PAR,RUH,13h 55m ,1 stop ,"2,344 SAR ",2/1/2022
SAUDIA,PAR,RUH,14h 55m ,1 stop ,"2,344 SAR ",2/1/2022
SAUDIA,PAR,RUH,15h 55m ,1 stop ,"2,344 SAR ",2/1/2022
SAUDIA,PAR,RUH,16h 55m ,1 stop ,"2,344 SAR ",2/1/2022
SAUDIA,PAR,RUH,17h 55m ,1 stop ,"2,344 SAR ",2/1/2022
