Airline,Source,Destination,Duration,Total stops,Price,Date
Air Serbia,PAR,SVO,6h 15m ,1 stop ,774 SAR ,2022-02-01
Aeroflot,PAR,SVO,3h 45m ,nonstop ,"1,155 SAR ",2022-02-01
Aeroflot,PAR,SVO,4h 10m ,nonstop ,"1,184 SAR ",2022-02-01
Aeroflot,PAR,SVO,3h 55m ,nonstop ,"1,207 SAR ",2022-02-01
Finnair,PAR,SVO,7h 20m ,1 stop ,589 SAR ,2022-02-01
Finnair,PAR,SVO,10h 35m ,1 stop ,589 SAR ,2022-02-01
Air Serbia,PAR,SVO,6h 15m ,1 stop ,696 SAR ,2022-02-01
Finnair,PAR,SVO,16h 05m ,1 stop ,547 SAR ,2022-02-01
"airBaltic, Aeroflot",PAR,SVO,7h 25m ,1 stop ,805 SAR ,2022-02-01
LOT,PAR,SVO,7h 30m ,1 stop ,809 SAR ,2022-02-01
LOT,PAR,SVO,11h 10m ,1 stop ,809 SAR ,2022-02-01
"easyJet, Aeroflot",PAR,SVO,7h 15m ,1 stop ,872 SAR ,2022-02-01
"Ryanair, Aeroflot",PAR,SVO,9h 05m ,1 stop ,926 SAR ,2022-02-01
"Air Moldova, Aeroflot",PAR,SVO,12h 15m ,1 stop ,969 SAR ,2022-02-01
"Lufthansa, Nordwind Airlines",PAR,SVO,8h 45m ,1 stop ,989 SAR ,2022-02-01
"Air France, Nordwind Airlines",PAR,SVO,10h 10m ,1 stop ,"1,028 SAR ",2022-02-01
"Vueling, Aeroflot",PAR,SVO,8h 35m ,1 stop ,"1,031 SAR ",2022-02-01
"easyJet, Aeroflot",PAR,SVO,7h 00m ,1 stop ,"1,078 SAR ",2022-02-01
"Vueling, Aeroflot",PAR,SVO,7h 20m ,1 stop ,"1,117 SAR ",2022-02-01
"Air France, LOT",PAR,SVO,8h 30m ,1 stop ,"1,141 SAR ",2022-02-01
KLM,PAR,SVO,5h 15m ,1 stop ,"1,201 SAR ",2022-02-01
KLM,PAR,SVO,5h 30m ,1 stop ,"1,201 SAR ",2022-02-01
KLM,PAR,SVO,5h 40m ,1 stop ,"1,201 SAR ",2022-02-01
KLM,PAR,SVO,5h 55m ,1 stop ,"1,201 SAR ",2022-02-01
KLM,PAR,SVO,6h 55m ,1 stop ,"1,201 SAR ",2022-02-01
KLM,PAR,SVO,7h 00m ,1 stop ,"1,201 SAR ",2022-02-01
KLM,PAR,SVO,7h 50m ,1 stop ,"1,201 SAR ",2022-02-01
"Vueling, Aeroflot",PAR,SVO,11h 05m ,1 stop ,"1,002 SAR ",2022-02-01
"easyJet, Aeroflot",PAR,SVO,8h 25m ,1 stop ,"1,109 SAR ",2022-02-01
KLM,PAR,SVO,9h 25m ,1 stop ,"1,201 SAR ",2022-02-01
KLM,PAR,SVO,12h 10m ,1 stop ,"1,201 SAR ",2022-02-01
