Airline,Source,Destination,Duration,Total stops,Price,Date
Egypt Air,RUH,NYC,18h 45m ,1 stop ,"2,102 SAR ",2022-02-02
"British Airways, American Airlines",RUH,NYC,18h 25m ,1 stop ,"3,805 SAR ",2022-02-02
"British Airways, American Airlines",RUH,NYC,19h 35m ,1 stop ,"3,805 SAR ",2022-02-02
"British Airways, American Airlines",RUH,NYC,19h 55m ,1 stop ,"3,805 SAR ",2022-02-02
"Qatar Airways, American Airlines",RUH,NYC,18h 20m ,1 stop ,"4,123 SAR ",2022-02-02
Oman Air,RUH,NYC,30h 20m ,2 stops ,"2,655 SAR ",2022-02-02
Lufthansa,RUH,NYC,19h 50m ,2 stops ,"3,785 SAR ",2022-02-02
Egypt Air,RUH,NYC,18h 45m ,1 stop ,"2,143 SAR ",2022-02-03
Egypt Air,RUH,NYC,18h 45m ,1 stop ,"1,980 SAR ",2022-02-03
"Air Cairo, Air France",RUH,NYC,35h 46m ,3 stops ,"1,791 SAR ",2022-02-03
Egypt Air,RUH,NYC,24h 45m ,1 stop ,"1,992 SAR ",2022-02-03
KLM,RUH,NYC,20h 40m ,1 stop ,"2,318 SAR ",2022-02-03
KLM,RUH,NYC,23h 20m ,1 stop ,"2,318 SAR ",2022-02-03
Turkish Airlines,RUH,NYC,19h 40m ,1 stop ,"2,659 SAR ",2022-02-03
Turkish Airlines,RUH,NYC,23h 55m ,1 stop ,"2,659 SAR ",2022-02-03
"Air Arabia, Egypt Air",RUH,NYC,23h 45m ,1 stop ,"2,852 SAR ",2022-02-03
Etihad Airways,RUH,NYC,19h 40m ,1 stop ,"2,953 SAR ",2022-02-03
Etihad Airways,RUH,NYC,25h 35m ,1 stop ,"2,953 SAR ",2022-02-03
Emirates,RUH,NYC,18h 00m ,1 stop ,"2,996 SAR ",2022-02-03
Emirates,RUH,NYC,19h 55m ,1 stop ,"2,996 SAR ",2022-02-03
Emirates,RUH,NYC,25h 35m ,1 stop ,"2,996 SAR ",2022-02-03
Emirates,RUH,NYC,23h 05m ,1 stop ,"3,039 SAR ",2022-02-03
Emirates,RUH,NYC,25h 25m ,1 stop ,"3,039 SAR ",2022-02-03
Air France,RUH,NYC,16h 35m ,1 stop ,"3,102 SAR ",2022-02-03
Air France,RUH,NYC,19h 10m ,1 stop ,"3,102 SAR ",2022-02-03
Air France,RUH,NYC,19h 55m ,1 stop ,"3,139 SAR ",2022-02-03
Air France,RUH,NYC,22h 10m ,1 stop ,"3,139 SAR ",2022-02-03
Air France,RUH,NYC,22h 55m ,1 stop ,"3,139 SAR ",2022-02-03
Air France,RUH,NYC,24h 15m ,1 stop ,"3,139 SAR ",2022-02-03
Qatar Airways,RUH,NYC,18h 20m ,1 stop ,"3,172 SAR ",2022-02-03
Qatar Airways,RUH,NYC,22h 45m ,1 stop ,"3,172 SAR ",2022-02-03
"Lufthansa, Air France",RUH,NYC,19h 10m ,1 stop ,"3,326 SAR ",2022-02-03
Air France,RUH,NYC,27h 50m ,1 stop ,"3,181 SAR ",2022-02-03
"SAUDIA, Finnair",RUH,NYC,18h 25m ,1 stop ,"3,457 SAR ",2022-02-03
Lufthansa,RUH,NYC,19h 50m ,1 stop ,"3,658 SAR ",2022-02-03
Lufthansa,RUH,NYC,22h 25m ,1 stop ,"3,658 SAR ",2022-02-03
Lufthansa,RUH,NYC,20h 10m ,1 stop ,"3,679 SAR ",2022-02-03
"Lufthansa, United Airlines",RUH,NYC,20h 10m ,1 stop ,"3,720 SAR ",2022-02-03
"British Airways, American Airlines",RUH,NYC,18h 25m ,1 stop ,"3,805 SAR ",2022-02-03
"British Airways, American Airlines",RUH,NYC,19h 35m ,1 stop ,"3,805 SAR ",2022-02-03
"British Airways, American Airlines",RUH,NYC,19h 50m ,1 stop ,"3,805 SAR ",2022-02-03
"British Airways, American Airlines",RUH,NYC,20h 55m ,1 stop ,"3,805 SAR ",2022-02-03
"British Airways, American Airlines",RUH,NYC,21h 25m ,1 stop ,"3,805 SAR ",2022-02-03
"British Airways, American Airlines",RUH,NYC,24h 20m ,1 stop ,"3,805 SAR ",2022-02-03
