Airline,Source,Destination,Duration,Total stops,Price,Date
British Airways,RUH,PAR,10h 30m ,1 stop ,"1,072 SAR ",2022-02-02
Turkish Airlines,RUH,PAR,13h 00m ,1 stop ,"1,551 SAR ",2022-02-02
Etihad Airways,RUH,PAR,10h 30m ,1 stop ,"1,832 SAR ",2022-02-02
Qatar Airways,RUH,PAR,10h 55m ,1 stop ,"1,920 SAR ",2022-02-02
Emirates,RUH,PAR,11h 40m ,1 stop ,"2,028 SAR ",2022-02-02
Lufthansa,RUH,PAR,10h 40m ,1 stop ,"3,399 SAR ",2022-02-02
Gulf Air,RUH,PAR,11h 45m ,2 stops ,"1,697 SAR ",2022-02-02
Emirates,RUH,PAR,24h 11m ,2 stops ,"10,406 SAR ",2022-02-02
SAUDIA,RUH,PAR,6h 55m ,nonstop ,"1,852 SAR ",2022-02-12
Egypt Air,RUH,PAR,10h 45m ,1 stop ,880 SAR ,2022-02-12
British Airways,RUH,PAR,10h 30m ,1 stop ,"1,072 SAR ",2022-02-12
Turkish Airlines,RUH,PAR,9h 40m ,1 stop ,"1,448 SAR ",2022-02-12
Qatar Airways,RUH,PAR,10h 55m ,1 stop ,"1,864 SAR ",2022-02-12
Lufthansa,RUH,PAR,10h 40m ,1 stop ,"3,337 SAR ",2022-02-12
SAUDIA,RUH,PAR,6h 55m ,nonstop ,"1,852 SAR ",2022-02-21
British Airways,RUH,PAR,10h 30m ,1 stop ,"1,072 SAR ",2022-02-21
Turkish Airlines,RUH,PAR,9h 40m ,1 stop ,"1,448 SAR ",2022-02-21
Qatar Airways,RUH,PAR,10h 55m ,1 stop ,"1,864 SAR ",2022-02-21
Lufthansa,RUH,PAR,9h 45m ,1 stop ,"3,337 SAR ",2022-02-21
Emirates,RUH,PAR,24h 11m ,2 stops ,"10,406 SAR ",2022-02-21
Egypt Air,RUH,PAR,10h 45m ,1 stop ,"1,007 SAR ",2022-02-22
SAUDIA,RUH,PAR,6h 55m ,nonstop ,"1,852 SAR ",2022-02-22
Egypt Air,RUH,PAR,10h 45m ,1 stop ,880 SAR ,2022-02-22
British Airways,RUH,PAR,10h 30m ,1 stop ,"1,072 SAR ",2022-02-22
Turkish Airlines,RUH,PAR,10h 10m ,1 stop ,"1,448 SAR ",2022-02-22
Qatar Airways,RUH,PAR,10h 55m ,1 stop ,"1,864 SAR ",2022-02-22
Lufthansa,RUH,PAR,9h 45m ,1 stop ,"3,337 SAR ",2022-02-22
SAUDIA,RUH,PAR,6h 55m ,nonstop ,"1,852 SAR ",2022-02-23
British Airways,RUH,PAR,10h 30m ,1 stop ,"1,072 SAR ",2022-02-23
