Airline,Source,Destination,Duration,Total stops,Price,Date
Qatar Airways,RUH,SVO,14h 40m ,1 stop ,"2,216 SAR ",2022-02-01
"Turkish Airlines, Nordwind Airlines",RUH,SVO,15h 35m ,1 stop ,"1,674 SAR ",2022-02-01
Multiple Airlines,RUH,SVO,17h 30m ,3 stops ,"1,304 SAR ",2022-02-01
"Turkish Airlines, Aeroflot",RUH,SVO,16h 50m ,1 stop ,"1,851 SAR ",2022-02-01
"flynas, Aeroflot",RUH,SVO,13h 30m ,1 stop ,"1,876 SAR ",2022-02-01
"Egypt Air, Aeroflot",RUH,SVO,17h 05m ,1 stop ,"1,979 SAR ",2022-02-01
"flyadeal, Aeroflot",RUH,SVO,14h 45m ,1 stop ,"2,042 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,14h 15m ,1 stop ,"2,117 SAR ",2022-02-01
"flynas, Aeroflot",RUH,SVO,13h 25m ,1 stop ,"2,125 SAR ",2022-02-01
Qatar Airways,RUH,SVO,14h 40m ,1 stop ,"2,196 SAR ",2022-02-01
KLM,RUH,SVO,16h 30m ,1 stop ,"2,295 SAR ",2022-02-01
"flydubai, Aeroflot",RUH,SVO,11h 40m ,1 stop ,"2,501 SAR ",2022-02-01
"KLM, Aeroflot",RUH,SVO,17h 50m ,1 stop ,"2,510 SAR ",2022-02-01
"KLM, Aeroflot",RUH,SVO,16h 30m ,1 stop ,"2,584 SAR ",2022-02-01
"Emirates, Aeroflot",RUH,SVO,11h 25m ,1 stop ,"2,668 SAR ",2022-02-01
"SAUDIA, Air France",RUH,SVO,13h 15m ,1 stop ,"2,754 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,17h 30m ,1 stop ,"2,736 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,20h 50m ,1 stop ,"2,736 SAR ",2022-02-01
Multiple Airlines,RUH,SVO,19h 45m ,2 stops ,"1,545 SAR ",2022-02-01
Multiple Airlines,RUH,SVO,15h 05m ,2 stops ,"1,714 SAR ",2022-02-01
"British Airways, Finnair",RUH,SVO,19h 10m ,2 stops ,"1,781 SAR ",2022-02-01
"Royal Jordanian, Aeroflot",RUH,SVO,15h 00m ,2 stops ,"1,871 SAR ",2022-02-01
"Gulf Air, Aeroflot",RUH,SVO,17h 05m ,2 stops ,"1,901 SAR ",2022-02-01
"Turkish Airlines, Air Serbia",RUH,SVO,17h 25m ,2 stops ,"2,008 SAR ",2022-02-01
"Etihad Airways, Aeroflot",RUH,SVO,18h 25m ,2 stops ,"2,012 SAR ",2022-02-01
"Turkish Airlines, Air Serbia",RUH,SVO,17h 25m ,2 stops ,"2,081 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,13h 45m ,2 stops ,"2,120 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,14h 45m ,2 stops ,"2,120 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,15h 45m ,2 stops ,"2,120 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,18h 30m ,2 stops ,"2,120 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,18h 45m ,2 stops ,"2,120 SAR ",2022-02-01
KLM,RUH,SVO,16h 30m ,2 stops ,"2,239 SAR ",2022-02-01
"SAUDIA, Aeroflot",RUH,SVO,19h 15m ,2 stops ,"2,120 SAR ",2022-02-01
Air France,RUH,SVO,19h 05m ,2 stops ,"2,331 SAR ",2022-02-01
Air France,RUH,SVO,19h 05m ,2 stops ,"2,331 SAR ",2022-02-01
"KLM, Aeroflot",RUH,SVO,17h 50m ,2 stops ,"2,471 SAR ",2022-02-01
"Qatar Airways, Finnair",RUH,SVO,16h 00m ,2 stops ,"2,940 SAR ",2022-02-01
"Gulf Air, KLM",RUH,SVO,19h 45m ,3 stops ,"1,787 SAR ",2022-02-01
"Gulf Air, KLM",RUH,SVO,19h 45m ,3 stops ,"2,097 SAR ",2022-02-01
Multiple Airlines,RUH,SVO,17h 55m ,2 stops ,"4,684 SAR ",2022-02-01
"SAUDIA, KLM",RUH,SVO,14h 55m ,2 stops ,"8,513 SAR ",2022-02-01
Multiple Airlines,RUH,SVO,19h 45m ,2 stops ,"8,546 SAR ",2022-02-01
Multiple Airlines,RUH,SVO,18h 20m ,2 stops ,"12,949 SAR ",2022-02-01
Multiple Airlines,RUH,SVO,15h 45m ,2 stops ,"13,866 SAR ",2022-02-01
"MEA, Aeroflot",RUH,SVO,17h 15m ,2 stops ,"14,118 SAR ",2022-02-01
"Emirates, Aeroflot",RUH,SVO,17h 20m ,1 stop ,"14,654 SAR ",2022-02-01
Qatar Airways,RUH,SVO,20h 00m ,1 stop ,"2,216 SAR ",2022-02-02
"Turkish Airlines, Nordwind Airlines",RUH,SVO,15h 10m ,1 stop ,"1,679 SAR ",2022-02-02
Multiple Airlines,RUH,SVO,19h 10m ,3 stops ,971 SAR ,2022-02-02
