Airline,Source,Destination,Duration,Total stops,Price,Date
Aeroflot,SVO,NYC,10h 15m ,nonstop ,994 SAR ,2022-02-01
Aeroflot,SVO,NYC,10h 15m ,nonstop ,929 SAR ,2022-02-01
Aeroflot,SVO,NYC,10h 15m ,nonstop ,929 SAR ,2022-02-01
Delta,SVO,NYC,14h 25m ,1 stop ,"1,044 SAR ",2022-02-01
Delta,SVO,NYC,15h 10m ,1 stop ,"1,044 SAR ",2022-02-01
Delta,SVO,NYC,17h 25m ,1 stop ,"1,044 SAR ",2022-02-01
Delta,SVO,NYC,18h 10m ,1 stop ,"1,044 SAR ",2022-02-01
Delta,SVO,NYC,19h 30m ,1 stop ,"1,044 SAR ",2022-02-01
Delta,SVO,NYC,15h 40m ,1 stop ,"1,072 SAR ",2022-02-01
Delta,SVO,NYC,18h 20m ,1 stop ,"1,072 SAR ",2022-02-01
Air France,SVO,NYC,14h 00m ,1 stop ,"1,705 SAR ",2022-02-01
Air France,SVO,NYC,14h 45m ,1 stop ,"1,705 SAR ",2022-02-01
Air France,SVO,NYC,15h 50m ,1 stop ,"1,705 SAR ",2022-02-01
Air France,SVO,NYC,16h 05m ,1 stop ,"1,705 SAR ",2022-02-01
LOT,SVO,NYC,14h 10m ,1 stop ,"1,845 SAR ",2022-02-01
Delta,SVO,NYC,18h 53m ,2 stops ,"1,065 SAR ",2022-02-01
Aeroflot,SVO,NYC,10h 15m ,nonstop ,994 SAR ,2022-02-02
Aeroflot,SVO,NYC,10h 15m ,nonstop ,929 SAR ,2022-02-02
Delta,SVO,NYC,15h 40m ,1 stop ,"1,072 SAR ",2022-02-02
Air France,SVO,NYC,14h 00m ,1 stop ,"1,705 SAR ",2022-02-02
LOT,SVO,NYC,14h 10m ,1 stop ,"1,845 SAR ",2022-02-02
Finnair,SVO,NYC,13h 10m ,1 stop ,"2,286 SAR ",2022-02-02
Aeroflot,SVO,NYC,10h 15m ,nonstop ,994 SAR ,2022-02-03
Aeroflot,SVO,NYC,10h 15m ,nonstop ,929 SAR ,2022-02-03
Delta,SVO,NYC,14h 25m ,1 stop ,"1,044 SAR ",2022-02-03
Air France,SVO,NYC,14h 00m ,1 stop ,"1,705 SAR ",2022-02-03
LOT,SVO,NYC,14h 10m ,1 stop ,"1,845 SAR ",2022-02-03
LOT,SVO,NYC,14h 15m ,1 stop ,"1,971 SAR ",2022-02-03
Finnair,SVO,NYC,13h 10m ,1 stop ,"2,286 SAR ",2022-02-03
Qatar Airways,SVO,NYC,21h 45m ,1 stop ,"2,718 SAR ",2022-02-03
"KLM, Lufthansa",SVO,NYC,14h 05m ,1 stop ,"11,241 SAR ",2022-02-03
Aeroflot,SVO,NYC,10h 15m ,nonstop ,994 SAR ,2022-02-07
Aeroflot,SVO,NYC,10h 15m ,nonstop ,929 SAR ,2022-02-07
Delta,SVO,NYC,14h 25m ,1 stop ,"1,044 SAR ",2022-02-07
Delta,SVO,NYC,15h 10m ,1 stop ,"1,044 SAR ",2022-02-07
Delta,SVO,NYC,17h 25m ,1 stop ,"1,044 SAR ",2022-02-07
Delta,SVO,NYC,19h 30m ,1 stop ,"1,044 SAR ",2022-02-07
Delta,SVO,NYC,15h 40m ,1 stop ,"1,072 SAR ",2022-02-07
Delta,SVO,NYC,18h 20m ,1 stop ,"1,072 SAR ",2022-02-07
Delta,SVO,NYC,18h 10m ,1 stop ,"1,217 SAR ",2022-02-07
Air France,SVO,NYC,14h 00m ,1 stop ,"1,705 SAR ",2022-02-07
Air France,SVO,NYC,16h 05m ,1 stop ,"1,705 SAR ",2022-02-07
LOT,SVO,NYC,14h 10m ,1 stop ,"1,845 SAR ",2022-02-07
Delta,SVO,NYC,18h 53m ,2 stops ,"1,065 SAR ",2022-02-07
Delta,SVO,NYC,19h 36m ,2 stops ,"1,065 SAR ",2022-02-07
Delta,SVO,NYC,18h 28m ,2 stops ,"1,093 SAR ",2022-02-07
Finnair,SVO,NYC,13h 10m ,1 stop ,"2,286 SAR ",2022-02-07
LOT,SVO,NYC,16h 35m ,1 stop ,"2,794 SAR ",2022-02-07
"Aeroflot, KLM",SVO,NYC,14h 30m ,1 stop ,"2,918 SAR ",2022-02-07
"Aeroflot, Turkish Airlines",SVO,NYC,19h 05m ,2 stops ,"1,575 SAR ",2022-02-07
Finnair,SVO,NYC,17h 05m ,2 stops ,"3,009 SAR ",2022-02-07
Air France,SVO,NYC,14h 45m ,1 stop ,"4,655 SAR ",2022-02-07
"Air France, Air Canada",SVO,NYC,18h 09m ,2 stops ,"6,141 SAR ",2022-02-07
Air France,SVO,NYC,17h 15m ,2 stops ,"6,199 SAR ",2022-02-07
KLM,SVO,NYC,16h 30m ,2 stops ,"6,251 SAR ",2022-02-07
Air France,SVO,NYC,19h 35m ,2 stops ,"6,260 SAR ",2022-02-07
KLM,SVO,NYC,18h 05m ,2 stops ,"6,296 SAR ",2022-02-07
KLM,SVO,NYC,18h 05m ,2 stops ,"6,296 SAR ",2022-02-07
"Aeroflot, KLM",SVO,NYC,18h 10m ,1 stop ,"6,431 SAR ",2022-02-07
"Aeroflot, KLM",SVO,NYC,16h 10m ,1 stop ,"6,487 SAR ",2022-02-07
"Aeroflot, KLM",SVO,NYC,15h 40m ,1 stop ,"6,500 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,17h 50m ,2 stops ,"10,308 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,18h 35m ,2 stops ,"10,322 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,18h 50m ,2 stops ,"10,345 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,18h 50m ,2 stops ,"10,345 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,19h 10m ,2 stops ,"10,392 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,17h 50m ,2 stops ,"10,423 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,17h 50m ,2 stops ,"10,423 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,18h 35m ,2 stops ,"10,437 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,18h 50m ,2 stops ,"10,460 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,18h 05m ,2 stops ,"10,522 SAR ",2022-02-07
"Finnair, American Airlines",SVO,NYC,17h 05m ,2 stops ,"11,636 SAR ",2022-02-07
"Finnair, American Airlines",SVO,NYC,18h 02m ,2 stops ,"11,636 SAR ",2022-02-07
"Finnair, American Airlines",SVO,NYC,18h 14m ,2 stops ,"11,636 SAR ",2022-02-07
"Finnair, American Airlines",SVO,NYC,18h 18m ,2 stops ,"11,636 SAR ",2022-02-07
"Air France, United Airlines",SVO,NYC,16h 35m ,2 stops ,"16,168 SAR ",2022-02-07
"KLM, Lufthansa",SVO,NYC,14h 05m ,1 stop ,"16,919 SAR ",2022-02-07
"Air France, United Airlines",SVO,NYC,19h 10m ,2 stops ,"17,103 SAR ",2022-02-07
Multiple Airlines,SVO,NYC,17h 00m ,2 stops ,"40,389 SAR ",2022-02-07
Aeroflot,SVO,NYC,10h 15m ,nonstop ,994 SAR ,2022-02-08
Aeroflot,SVO,NYC,10h 15m ,nonstop ,929 SAR ,2022-02-08
Aeroflot,SVO,NYC,10h 15m ,nonstop ,929 SAR ,2022-02-08
Delta,SVO,NYC,14h 25m ,1 stop ,"1,044 SAR ",2022-02-08
Delta,SVO,NYC,15h 10m ,1 stop ,"1,044 SAR ",2022-02-08
Delta,SVO,NYC,17h 25m ,1 stop ,"1,044 SAR ",2022-02-08
Delta,SVO,NYC,18h 10m ,1 stop ,"1,044 SAR ",2022-02-08
Delta,SVO,NYC,19h 30m ,1 stop ,"1,044 SAR ",2022-02-08
Delta,SVO,NYC,15h 40m ,1 stop ,"1,072 SAR ",2022-02-08
Delta,SVO,NYC,18h 20m ,1 stop ,"1,072 SAR ",2022-02-08
Air France,SVO,NYC,14h 00m ,1 stop ,"1,705 SAR ",2022-02-08
Air France,SVO,NYC,14h 45m ,1 stop ,"1,705 SAR ",2022-02-08
Air France,SVO,NYC,15h 50m ,1 stop ,"1,705 SAR ",2022-02-08
Air France,SVO,NYC,16h 05m ,1 stop ,"1,705 SAR ",2022-02-08
LOT,SVO,NYC,14h 10m ,1 stop ,"1,845 SAR ",2022-02-08
Delta,SVO,NYC,18h 53m ,2 stops ,"1,065 SAR ",2022-02-08
Delta,SVO,NYC,19h 36m ,2 stops ,"1,065 SAR ",2022-02-08
Delta,SVO,NYC,18h 28m ,2 stops ,"1,093 SAR ",2022-02-08
Finnair,SVO,NYC,13h 10m ,1 stop ,"2,286 SAR ",2022-02-08
Finnair,SVO,NYC,17h 05m ,2 stops ,"3,009 SAR ",2022-02-08
"Air France, Air Canada",SVO,NYC,18h 09m ,2 stops ,"6,141 SAR ",2022-02-08
Air France,SVO,NYC,17h 15m ,2 stops ,"6,199 SAR ",2022-02-08
KLM,SVO,NYC,16h 30m ,2 stops ,"6,248 SAR ",2022-02-08
KLM,SVO,NYC,18h 05m ,2 stops ,"6,294 SAR ",2022-02-08
KLM,SVO,NYC,18h 05m ,2 stops ,"6,294 SAR ",2022-02-08
Air France,SVO,NYC,16h 45m ,2 stops ,"6,304 SAR ",2022-02-08
