Airline,Source,Destination,Duration,Total stops,Price,Date
Air Serbia,SVO,PAR,25h 20m ,1 stop ,504 SAR ,2022-02-01
Air France,SVO,PAR,4h 10m ,nonstop ,608 SAR ,2022-02-01
Air Serbia,SVO,PAR,25h 20m ,1 stop ,433 SAR ,2022-02-01
Air France,SVO,PAR,4h 05m ,nonstop ,"1,038 SAR ",2022-02-01
Air France,SVO,PAR,4h 10m ,nonstop ,"1,038 SAR ",2022-02-01
Air France,SVO,PAR,4h 20m ,nonstop ,"1,079 SAR ",2022-02-01
Finnair,SVO,PAR,6h 35m ,1 stop ,437 SAR ,2022-02-01
Finnair,SVO,PAR,10h 50m ,1 stop ,437 SAR ,2022-02-01
Finnair,SVO,PAR,14h 45m ,1 stop ,437 SAR ,2022-02-01
"Nordwind Airlines, Wizz Air",SVO,PAR,14h 10m ,1 stop ,462 SAR ,2022-02-01
LOT,SVO,PAR,6h 35m ,1 stop ,577 SAR ,2022-02-01
LOT,SVO,PAR,10h 45m ,1 stop ,577 SAR ,2022-02-01
KLM,SVO,PAR,5h 50m ,1 stop ,643 SAR ,2022-02-01
KLM,SVO,PAR,6h 05m ,1 stop ,643 SAR ,2022-02-01
KLM,SVO,PAR,7h 25m ,1 stop ,643 SAR ,2022-02-01
KLM,SVO,PAR,8h 15m ,1 stop ,643 SAR ,2022-02-01
KLM,SVO,PAR,10h 10m ,1 stop ,643 SAR ,2022-02-01
LOT,SVO,PAR,14h 40m ,1 stop ,577 SAR ,2022-02-01
KLM,SVO,PAR,11h 45m ,1 stop ,643 SAR ,2022-02-01
KLM,SVO,PAR,14h 20m ,1 stop ,643 SAR ,2022-02-01
KLM,SVO,PAR,15h 55m ,1 stop ,643 SAR ,2022-02-01
"Aeroflot, easyJet",SVO,PAR,12h 40m ,1 stop ,783 SAR ,2022-02-01
"Pobeda, Finnair",SVO,PAR,9h 55m ,2 stops ,599 SAR ,2022-02-01
"Aeroflot, Finnair",SVO,PAR,7h 45m ,2 stops ,630 SAR ,2022-02-01
"Aeroflot, Finnair",SVO,PAR,8h 20m ,2 stops ,630 SAR ,2022-02-01
"Aeroflot, Finnair",SVO,PAR,9h 55m ,2 stops ,630 SAR ,2022-02-01
"Aeroflot, Finnair",SVO,PAR,12h 00m ,2 stops ,630 SAR ,2022-02-01
"Aeroflot, Finnair",SVO,PAR,12h 35m ,2 stops ,630 SAR ,2022-02-01
"Aeroflot, Ryanair",SVO,PAR,11h 55m ,2 stops ,682 SAR ,2022-02-01
"Finnair, Vueling",SVO,PAR,10h 55m ,2 stops ,699 SAR ,2022-02-01
Multiple Airlines,SVO,PAR,15h 05m ,3 stops ,675 SAR ,2022-02-01
Multiple Airlines,SVO,PAR,15h 40m ,3 stops ,675 SAR ,2022-02-01
Multiple Airlines,SVO,PAR,15h 20m ,3 stops ,798 SAR ,2022-02-01
"KLM, Ryanair",SVO,PAR,16h 05m ,3 stops ,816 SAR ,2022-02-01
KLM,SVO,PAR,16h 10m ,2 stops ,"4,957 SAR ",2022-02-01
Qatar Airways,SVO,PAR,14h 25m ,1 stop ,"5,651 SAR ",2022-02-01
"KLM, Brussels Airlines",SVO,PAR,15h 45m ,2 stops ,"6,591 SAR ",2022-02-01
"Aeroflot, KLM",SVO,PAR,7h 55m ,1 stop ,"12,499 SAR ",2022-02-01
"Aeroflot, KLM",SVO,PAR,5h 50m ,1 stop ,"12,541 SAR ",2022-02-01
"Aeroflot, KLM",SVO,PAR,7h 25m ,1 stop ,"12,541 SAR ",2022-02-01
"Aeroflot, KLM",SVO,PAR,8h 15m ,1 stop ,"12,541 SAR ",2022-02-01
Air France,SVO,PAR,4h 10m ,nonstop ,606 SAR ,2022-02-02
Finnair,SVO,PAR,7h 50m ,1 stop ,395 SAR ,2022-02-02
Aeroflot,SVO,PAR,4h 10m ,nonstop ,"1,056 SAR ",2022-02-02
Finnair,SVO,PAR,6h 35m ,1 stop ,435 SAR ,2022-02-02
Aeroflot,SVO,PAR,4h 10m ,nonstop ,"1,111 SAR ",2022-02-02
Finnair,SVO,PAR,11h 40m ,1 stop ,395 SAR ,2022-02-02
Finnair,SVO,PAR,15h 55m ,1 stop ,395 SAR ,2022-02-02
Finnair,SVO,PAR,10h 50m ,1 stop ,435 SAR ,2022-02-02
Finnair,SVO,PAR,14h 45m ,1 stop ,435 SAR ,2022-02-02
Air Serbia,SVO,PAR,6h 45m ,1 stop ,518 SAR ,2022-02-02
LOT,SVO,PAR,6h 35m ,1 stop ,577 SAR ,2022-02-02
airBaltic,SVO,PAR,13h 25m ,1 stop ,485 SAR ,2022-02-02
LOT,SVO,PAR,10h 45m ,1 stop ,577 SAR ,2022-02-02
LOT,SVO,PAR,14h 40m ,1 stop ,577 SAR ,2022-02-02
KLM,SVO,PAR,5h 50m ,1 stop ,643 SAR ,2022-02-02
KLM,SVO,PAR,6h 05m ,1 stop ,643 SAR ,2022-02-02
KLM,SVO,PAR,7h 25m ,1 stop ,643 SAR ,2022-02-02
KLM,SVO,PAR,8h 15m ,1 stop ,643 SAR ,2022-02-02
KLM,SVO,PAR,10h 10m ,1 stop ,643 SAR ,2022-02-02
KLM,SVO,PAR,11h 45m ,1 stop ,643 SAR ,2022-02-02
KLM,SVO,PAR,14h 20m ,1 stop ,643 SAR ,2022-02-02
KLM,SVO,PAR,15h 55m ,1 stop ,643 SAR ,2022-02-02
KLM,SVO,PAR,16h 15m ,1 stop ,643 SAR ,2022-02-02
"Aeroflot, Wizz Air",SVO,PAR,12h 15m ,1 stop ,657 SAR ,2022-02-02
"KLM, Air France",SVO,PAR,17h 40m ,1 stop ,701 SAR ,2022-02-02
"Finnair, Ryanair",SVO,PAR,10h 10m ,2 stops ,596 SAR ,2022-02-02
"Pobeda, Finnair",SVO,PAR,9h 55m ,2 stops ,599 SAR ,2022-02-02
"Aeroflot, Finnair",SVO,PAR,9h 55m ,2 stops ,630 SAR ,2022-02-02
"Aeroflot, Finnair",SVO,PAR,12h 00m ,2 stops ,630 SAR ,2022-02-02
"Aeroflot, Finnair",SVO,PAR,12h 35m ,2 stops ,630 SAR ,2022-02-02
"Nordwind Airlines, Turkish Airlines",SVO,PAR,13h 35m ,2 stops ,722 SAR ,2022-02-02
KLM,SVO,PAR,6h 55m ,1 stop ,"1,170 SAR ",2022-02-02
Multiple Airlines,SVO,PAR,16h 05m ,2 stops ,499 SAR ,2022-02-02
Multiple Airlines,SVO,PAR,14h 30m ,3 stops ,588 SAR ,2022-02-02
"Finnair, Ryanair",SVO,PAR,14h 50m ,3 stops ,630 SAR ,2022-02-02
Multiple Airlines,SVO,PAR,13h 00m ,3 stops ,675 SAR ,2022-02-02
"Finnair, Ryanair",SVO,PAR,13h 25m ,3 stops ,715 SAR ,2022-02-02
"Finnair, Lufthansa",SVO,PAR,13h 25m ,3 stops ,738 SAR ,2022-02-02
KLM,SVO,PAR,16h 10m ,2 stops ,"4,957 SAR ",2022-02-02
Qatar Airways,SVO,PAR,14h 25m ,1 stop ,"5,651 SAR ",2022-02-02
"Czech Airlines, Lufthansa",SVO,PAR,8h 10m ,2 stops ,"9,068 SAR ",2022-02-02
"Aeroflot, KLM",SVO,PAR,7h 55m ,1 stop ,"12,499 SAR ",2022-02-02
"Aeroflot, KLM",SVO,PAR,8h 00m ,1 stop ,"12,499 SAR ",2022-02-02
"Aeroflot, KLM",SVO,PAR,9h 15m ,1 stop ,"12,499 SAR ",2022-02-02
"Aeroflot, KLM",SVO,PAR,5h 50m ,1 stop ,"12,541 SAR ",2022-02-02
"Aeroflot, KLM",SVO,PAR,7h 25m ,1 stop ,"12,541 SAR ",2022-02-02
"Aeroflot, KLM",SVO,PAR,8h 15m ,1 stop ,"12,541 SAR ",2022-02-02
Air Serbia,SVO,PAR,14h 20m ,1 stop ,504 SAR ,2022-02-03
Air France,SVO,PAR,4h 20m ,nonstop ,606 SAR ,2022-02-03
Finnair,SVO,PAR,9h 35m ,1 stop ,395 SAR ,2022-02-03
Air France,SVO,PAR,4h 10m ,nonstop ,608 SAR ,2022-02-03
Aeroflot,SVO,PAR,4h 10m ,nonstop ,"1,056 SAR ",2022-02-03
Finnair,SVO,PAR,6h 35m ,1 stop ,435 SAR ,2022-02-03
Finnair,SVO,PAR,13h 50m ,1 stop ,395 SAR ,2022-02-03
Finnair,SVO,PAR,10h 50m ,1 stop ,435 SAR ,2022-02-03
airBaltic,SVO,PAR,8h 55m ,1 stop ,485 SAR ,2022-02-03
LOT,SVO,PAR,6h 35m ,1 stop ,577 SAR ,2022-02-03
KLM,SVO,PAR,5h 50m ,1 stop ,643 SAR ,2022-02-03
KLM,SVO,PAR,6h 05m ,1 stop ,643 SAR ,2022-02-03
KLM,SVO,PAR,7h 25m ,1 stop ,643 SAR ,2022-02-03
KLM,SVO,PAR,8h 15m ,1 stop ,643 SAR ,2022-02-03
Air Serbia,SVO,PAR,14h 20m ,1 stop ,433 SAR ,2022-02-03
Finnair,SVO,PAR,14h 45m ,1 stop ,435 SAR ,2022-02-03
LOT,SVO,PAR,10h 45m ,1 stop ,577 SAR ,2022-02-03
LOT,SVO,PAR,14h 40m ,1 stop ,577 SAR ,2022-02-03
KLM,SVO,PAR,10h 10m ,1 stop ,643 SAR ,2022-02-03
KLM,SVO,PAR,11h 45m ,1 stop ,643 SAR ,2022-02-03
KLM,SVO,PAR,14h 20m ,1 stop ,643 SAR ,2022-02-03
KLM,SVO,PAR,15h 55m ,1 stop ,643 SAR ,2022-02-03
"Pobeda, Finnair",SVO,PAR,9h 55m ,2 stops ,599 SAR ,2022-02-03
Multiple Airlines,SVO,PAR,14h 15m ,2 stops ,618 SAR ,2022-02-03
"Aeroflot, Finnair",SVO,PAR,7h 45m ,2 stops ,630 SAR ,2022-02-03
"Aeroflot, Finnair",SVO,PAR,8h 20m ,2 stops ,630 SAR ,2022-02-03
"Aeroflot, Finnair",SVO,PAR,9h 55m ,2 stops ,630 SAR ,2022-02-03
KLM,SVO,PAR,16h 15m ,1 stop ,643 SAR ,2022-02-03
"airBaltic, Vueling",SVO,PAR,13h 40m ,2 stops ,656 SAR ,2022-02-03
"KLM, Air France",SVO,PAR,17h 40m ,1 stop ,701 SAR ,2022-02-03
Aeroflot,SVO,PAR,13h 55m ,1 stop ,747 SAR ,2022-02-03
Aeroflot,SVO,PAR,14h 30m ,1 stop ,747 SAR ,2022-02-03
"Aeroflot, Transavia France",SVO,PAR,9h 55m ,1 stop ,885 SAR ,2022-02-03
"Aeroflot, Vueling",SVO,PAR,9h 50m ,1 stop ,967 SAR ,2022-02-03
LOT,SVO,PAR,9h 00m ,1 stop ,"1,015 SAR ",2022-02-03
LOT,SVO,PAR,13h 10m ,1 stop ,"1,015 SAR ",2022-02-03
Aeroflot,SVO,PAR,15h 00m ,1 stop ,"1,231 SAR ",2022-02-03
Aeroflot,SVO,PAR,16h 05m ,1 stop ,"1,231 SAR ",2022-02-03
Aeroflot,SVO,PAR,7h 20m ,1 stop ,"1,280 SAR ",2022-02-03
Aeroflot,SVO,PAR,7h 30m ,1 stop ,"1,280 SAR ",2022-02-03
Aeroflot,SVO,PAR,8h 15m ,1 stop ,"1,280 SAR ",2022-02-03
Aeroflot,SVO,PAR,9h 15m ,1 stop ,"1,280 SAR ",2022-02-03
Aeroflot,SVO,PAR,10h 25m ,1 stop ,"1,280 SAR ",2022-02-03
Aeroflot,SVO,PAR,11h 05m ,1 stop ,"1,280 SAR ",2022-02-03
Aeroflot,SVO,PAR,12h 20m ,1 stop ,"1,280 SAR ",2022-02-03
"Finnair, Vueling",SVO,PAR,13h 55m ,2 stops ,659 SAR ,2022-02-03
"Aeroflot, Ryanair",SVO,PAR,14h 30m ,2 stops ,671 SAR ,2022-02-03
"Aeroflot, Ryanair",SVO,PAR,14h 00m ,2 stops ,712 SAR ,2022-02-03
Multiple Airlines,SVO,PAR,13h 30m ,3 stops ,768 SAR ,2022-02-03
Multiple Airlines,SVO,PAR,15h 15m ,3 stops ,786 SAR ,2022-02-03
Multiple Airlines,SVO,PAR,15h 35m ,3 stops ,833 SAR ,2022-02-03
Multiple Airlines,SVO,PAR,16h 10m ,3 stops ,833 SAR ,2022-02-03
KLM,SVO,PAR,16h 10m ,2 stops ,"4,957 SAR ",2022-02-03
Qatar Airways,SVO,PAR,14h 25m ,1 stop ,"5,735 SAR ",2022-02-03
"Aeroflot, KLM",SVO,PAR,5h 50m ,1 stop ,"12,541 SAR ",2022-02-03
"Aeroflot, KLM",SVO,PAR,7h 25m ,1 stop ,"12,541 SAR ",2022-02-03
"Aeroflot, KLM",SVO,PAR,8h 15m ,1 stop ,"12,541 SAR ",2022-02-03
Air Serbia,SVO,PAR,6h 45m ,1 stop ,592 SAR ,2022-02-04
Air France,SVO,PAR,4h 10m ,nonstop ,608 SAR ,2022-02-04
Finnair,SVO,PAR,6h 35m ,1 stop ,437 SAR ,2022-02-04
Aeroflot,SVO,PAR,4h 05m ,nonstop ,"1,056 SAR ",2022-02-04
Aeroflot,SVO,PAR,4h 10m ,nonstop ,"1,056 SAR ",2022-02-04
Air Serbia,SVO,PAR,6h 45m ,1 stop ,518 SAR ,2022-02-04
LOT,SVO,PAR,6h 35m ,1 stop ,577 SAR ,2022-02-04
KLM,SVO,PAR,5h 50m ,1 stop ,643 SAR ,2022-02-04
KLM,SVO,PAR,6h 05m ,1 stop ,643 SAR ,2022-02-04
Finnair,SVO,PAR,10h 50m ,1 stop ,437 SAR ,2022-02-04
Finnair,SVO,PAR,14h 45m ,1 stop ,437 SAR ,2022-02-04
LOT,SVO,PAR,10h 45m ,1 stop ,577 SAR ,2022-02-04
KLM,SVO,PAR,7h 25m ,1 stop ,643 SAR ,2022-02-04
KLM,SVO,PAR,8h 15m ,1 stop ,643 SAR ,2022-02-04
KLM,SVO,PAR,10h 10m ,1 stop ,643 SAR ,2022-02-04
KLM,SVO,PAR,11h 45m ,1 stop ,643 SAR ,2022-02-04
"Aeroflot, Ryanair",SVO,PAR,6h 35m ,1 stop ,645 SAR ,2022-02-04
Aeroflot,SVO,PAR,6h 40m ,1 stop ,726 SAR ,2022-02-04
Aeroflot,SVO,PAR,7h 10m ,1 stop ,726 SAR ,2022-02-04
LOT,SVO,PAR,5h 35m ,1 stop ,"1,015 SAR ",2022-02-04
LOT,SVO,PAR,14h 40m ,1 stop ,577 SAR ,2022-02-04
"Aeroflot, Finnair",SVO,PAR,7h 45m ,2 stops ,630 SAR ,2022-02-04
"Aeroflot, Finnair",SVO,PAR,8h 20m ,2 stops ,630 SAR ,2022-02-04
"Finnair, Ryanair",SVO,PAR,10h 25m ,2 stops ,630 SAR ,2022-02-04
KLM,SVO,PAR,14h 20m ,1 stop ,643 SAR ,2022-02-04
KLM,SVO,PAR,15h 55m ,1 stop ,643 SAR ,2022-02-04
"Aeroflot, Finnair",SVO,PAR,9h 55m ,2 stops ,683 SAR ,2022-02-04
"Aeroflot, Wizz Air",SVO,PAR,12h 15m ,1 stop ,696 SAR ,2022-02-04
Bulgaria Air,SVO,PAR,14h 25m ,1 stop ,813 SAR ,2022-02-04
LOT,SVO,PAR,9h 45m ,1 stop ,"1,015 SAR ",2022-02-04
Aeroflot,SVO,PAR,11h 50m ,1 stop ,"1,231 SAR ",2022-02-04
Aeroflot,SVO,PAR,12h 55m ,1 stop ,"1,231 SAR ",2022-02-04
Aeroflot,SVO,PAR,7h 20m ,1 stop ,"1,280 SAR ",2022-02-04
Aeroflot,SVO,PAR,7h 30m ,1 stop ,"1,280 SAR ",2022-02-04
Aeroflot,SVO,PAR,8h 15m ,1 stop ,"1,280 SAR ",2022-02-04
Aeroflot,SVO,PAR,9h 15m ,1 stop ,"1,280 SAR ",2022-02-04
Aeroflot,SVO,PAR,10h 25m ,1 stop ,"1,280 SAR ",2022-02-04
Aeroflot,SVO,PAR,11h 05m ,1 stop ,"1,280 SAR ",2022-02-04
Aeroflot,SVO,PAR,12h 20m ,1 stop ,"1,280 SAR ",2022-02-04
Aeroflot,SVO,PAR,12h 50m ,1 stop ,"1,280 SAR ",2022-02-04
"Aeroflot, Finnair",SVO,PAR,12h 00m ,2 stops ,630 SAR ,2022-02-04
"Aeroflot, Finnair",SVO,PAR,12h 35m ,2 stops ,630 SAR ,2022-02-04
"Aeroflot, Finnair",SVO,PAR,11h 00m ,2 stops ,777 SAR ,2022-02-04
Qatar Airways,SVO,PAR,14h 25m ,1 stop ,"5,798 SAR ",2022-02-04
"KLM, Brussels Airlines",SVO,PAR,15h 45m ,2 stops ,"6,591 SAR ",2022-02-04
"Aeroflot, KLM",SVO,PAR,5h 50m ,1 stop ,"12,541 SAR ",2022-02-04
"Aeroflot, KLM",SVO,PAR,7h 25m ,1 stop ,"12,541 SAR ",2022-02-04
"Aeroflot, KLM",SVO,PAR,8h 15m ,1 stop ,"12,541 SAR ",2022-02-04
Air Serbia,SVO,PAR,7h 00m ,1 stop ,504 SAR ,2022-02-05
Air France,SVO,PAR,4h 10m ,nonstop ,608 SAR ,2022-02-05
Finnair,SVO,PAR,16h 20m ,1 stop ,395 SAR ,2022-02-05
Air France,SVO,PAR,4h 20m ,nonstop ,730 SAR ,2022-02-05
Aeroflot,SVO,PAR,4h 00m ,nonstop ,"1,056 SAR ",2022-02-05
Aeroflot,SVO,PAR,4h 10m ,nonstop ,"1,111 SAR ",2022-02-05
Air Serbia,SVO,PAR,7h 00m ,1 stop ,433 SAR ,2022-02-05
Finnair,SVO,PAR,6h 35m ,1 stop ,435 SAR ,2022-02-05
Finnair,SVO,PAR,10h 50m ,1 stop ,435 SAR ,2022-02-05
Finnair,SVO,PAR,14h 45m ,1 stop ,435 SAR ,2022-02-05
Air Serbia,SVO,PAR,9h 40m ,1 stop ,518 SAR ,2022-02-05
LOT,SVO,PAR,6h 35m ,1 stop ,577 SAR ,2022-02-05
LOT,SVO,PAR,10h 45m ,1 stop ,577 SAR ,2022-02-05
LOT,SVO,PAR,14h 40m ,1 stop ,577 SAR ,2022-02-05
KLM,SVO,PAR,5h 50m ,1 stop ,643 SAR ,2022-02-05
KLM,SVO,PAR,6h 05m ,1 stop ,643 SAR ,2022-02-05
KLM,SVO,PAR,7h 25m ,1 stop ,643 SAR ,2022-02-05
KLM,SVO,PAR,8h 15m ,1 stop ,643 SAR ,2022-02-05
KLM,SVO,PAR,10h 10m ,1 stop ,643 SAR ,2022-02-05
KLM,SVO,PAR,11h 45m ,1 stop ,643 SAR ,2022-02-05
KLM,SVO,PAR,14h 20m ,1 stop ,643 SAR ,2022-02-05
KLM,SVO,PAR,15h 55m ,1 stop ,643 SAR ,2022-02-05
Aeroflot,SVO,PAR,13h 55m ,1 stop ,732 SAR ,2022-02-05
Aeroflot,SVO,PAR,14h 30m ,1 stop ,732 SAR ,2022-02-05
"Aeroflot, HiSky",SVO,PAR,13h 50m ,1 stop ,769 SAR ,2022-02-05
"Aeroflot, Air France",SVO,PAR,7h 30m ,1 stop ,786 SAR ,2022-02-05
Bulgaria Air,SVO,PAR,14h 25m ,1 stop ,813 SAR ,2022-02-05
LOT,SVO,PAR,5h 35m ,1 stop ,"1,015 SAR ",2022-02-05
LOT,SVO,PAR,9h 45m ,1 stop ,"1,015 SAR ",2022-02-05
"Aeroflot, Pegasus Airlines",SVO,PAR,15h 20m ,2 stops ,580 SAR ,2022-02-05
Multiple Airlines,SVO,PAR,15h 45m ,2 stops ,618 SAR ,2022-02-05
"Aeroflot, Finnair",SVO,PAR,7h 45m ,2 stops ,630 SAR ,2022-02-05
"Aeroflot, Finnair",SVO,PAR,8h 20m ,2 stops ,630 SAR ,2022-02-05
"Aeroflot, Finnair",SVO,PAR,9h 55m ,2 stops ,630 SAR ,2022-02-05
Multiple Airlines,SVO,PAR,12h 25m ,2 stops ,737 SAR ,2022-02-05
"Finnair, Ryanair",SVO,PAR,10h 55m ,2 stops ,751 SAR ,2022-02-05
"KLM, Ryanair",SVO,PAR,14h 40m ,2 stops ,753 SAR ,2022-02-05
Multiple Airlines,SVO,PAR,7h 55m ,2 stops ,765 SAR ,2022-02-05
"Aeroflot, Smartwings",SVO,PAR,9h 15m ,2 stops ,795 SAR ,2022-02-05
Aeroflot,SVO,PAR,15h 00m ,1 stop ,"1,231 SAR ",2022-02-05
Aeroflot,SVO,PAR,7h 20m ,1 stop ,"1,280 SAR ",2022-02-05
Aeroflot,SVO,PAR,8h 15m ,1 stop ,"1,280 SAR ",2022-02-05
Aeroflot,SVO,PAR,9h 15m ,1 stop ,"1,280 SAR ",2022-02-05
Aeroflot,SVO,PAR,10h 25m ,1 stop ,"1,280 SAR ",2022-02-05
Aeroflot,SVO,PAR,11h 05m ,1 stop ,"1,280 SAR ",2022-02-05
Aeroflot,SVO,PAR,12h 20m ,1 stop ,"1,280 SAR ",2022-02-05
"Aeroflot, Air France",SVO,PAR,6h 05m ,1 stop ,"1,387 SAR ",2022-02-05
"KLM, Ryanair",SVO,PAR,15h 40m ,2 stops ,676 SAR ,2022-02-05
Multiple Airlines,SVO,PAR,13h 00m ,3 stops ,717 SAR ,2022-02-05
Multiple Airlines,SVO,PAR,14h 55m ,3 stops ,722 SAR ,2022-02-05
Multiple Airlines,SVO,PAR,14h 55m ,2 stops ,756 SAR ,2022-02-05
Air Algerie,SVO,PAR,10h 50m ,1 stop ,"2,753 SAR ",2022-02-05
Air Algerie,SVO,PAR,11h 55m ,1 stop ,"2,753 SAR ",2022-02-05
Qatar Airways,SVO,PAR,14h 25m ,1 stop ,"5,714 SAR ",2022-02-05
"KLM, Brussels Airlines",SVO,PAR,15h 45m ,2 stops ,"6,591 SAR ",2022-02-05
"Aeroflot, KLM",SVO,PAR,5h 50m ,1 stop ,"12,541 SAR ",2022-02-05
"Aeroflot, KLM",SVO,PAR,7h 25m ,1 stop ,"12,541 SAR ",2022-02-05
"Aeroflot, KLM",SVO,PAR,8h 15m ,1 stop ,"12,541 SAR ",2022-02-05
Aeroflot,SVO,PAR,4h 00m ,nonstop ,"1,056 SAR ",2022-02-06
Finnair,SVO,PAR,11h 40m ,1 stop ,395 SAR ,2022-02-06
Finnair,SVO,PAR,7h 50m ,1 stop ,470 SAR ,2022-02-06
Finnair,SVO,PAR,6h 35m ,1 stop ,480 SAR ,2022-02-06
Air Serbia,SVO,PAR,6h 45m ,1 stop ,518 SAR ,2022-02-06
Aeroflot,SVO,PAR,4h 10m ,nonstop ,"1,443 SAR ",2022-02-06
Finnair,SVO,PAR,10h 50m ,1 stop ,480 SAR ,2022-02-06
LOT,SVO,PAR,6h 35m ,1 stop ,577 SAR ,2022-02-06
KLM,SVO,PAR,5h 50m ,1 stop ,643 SAR ,2022-02-06
KLM,SVO,PAR,6h 05m ,1 stop ,643 SAR ,2022-02-06
Finnair,SVO,PAR,15h 55m ,1 stop ,395 SAR ,2022-02-06
Finnair,SVO,PAR,14h 45m ,1 stop ,435 SAR ,2022-02-06
airBaltic,SVO,PAR,13h 25m ,1 stop ,485 SAR ,2022-02-06
LOT,SVO,PAR,10h 45m ,1 stop ,577 SAR ,2022-02-06
KLM,SVO,PAR,7h 25m ,1 stop ,643 SAR ,2022-02-06
KLM,SVO,PAR,8h 15m ,1 stop ,643 SAR ,2022-02-06
KLM,SVO,PAR,10h 10m ,1 stop ,643 SAR ,2022-02-06
"Aeroflot, airBaltic",SVO,PAR,8h 15m ,1 stop ,675 SAR ,2022-02-06
LOT,SVO,PAR,14h 40m ,1 stop ,577 SAR ,2022-02-06
KLM,SVO,PAR,11h 45m ,1 stop ,643 SAR ,2022-02-06
KLM,SVO,PAR,14h 20m ,1 stop ,643 SAR ,2022-02-06
KLM,SVO,PAR,15h 55m ,1 stop ,643 SAR ,2022-02-06
"KLM, Air France",SVO,PAR,16h 15m ,1 stop ,658 SAR ,2022-02-06
Aeroflot,SVO,PAR,6h 40m ,1 stop ,808 SAR ,2022-02-06
Aeroflot,SVO,PAR,7h 10m ,1 stop ,808 SAR ,2022-02-06
"KLM, Air France",SVO,PAR,17h 40m ,1 stop ,701 SAR ,2022-02-06
Bulgaria Air,SVO,PAR,15h 05m ,1 stop ,813 SAR ,2022-02-06
"Aeroflot, Ryanair",SVO,PAR,10h 45m ,1 stop ,815 SAR ,2022-02-06
LOT,SVO,PAR,9h 00m ,1 stop ,"1,015 SAR ",2022-02-06
LOT,SVO,PAR,13h 10m ,1 stop ,"1,015 SAR ",2022-02-06
"Aeroflot, Pegasus Airlines",SVO,PAR,15h 20m ,2 stops ,580 SAR ,2022-02-06
"Pobeda, Finnair",SVO,PAR,9h 55m ,2 stops ,599 SAR ,2022-02-06
"Finnair, Ryanair",SVO,PAR,10h 05m ,2 stops ,601 SAR ,2022-02-06
Multiple Airlines,SVO,PAR,15h 50m ,2 stops ,618 SAR ,2022-02-06
Aeroflot,SVO,PAR,11h 50m ,1 stop ,"1,231 SAR ",2022-02-06
Aeroflot,SVO,PAR,12h 55m ,1 stop ,"1,231 SAR ",2022-02-06
Aeroflot,SVO,PAR,7h 50m ,1 stop ,"1,412 SAR ",2022-02-06
Aeroflot,SVO,PAR,8h 45m ,1 stop ,"1,412 SAR ",2022-02-06
Aeroflot,SVO,PAR,9h 25m ,1 stop ,"1,412 SAR ",2022-02-06
Aeroflot,SVO,PAR,10h 45m ,1 stop ,"1,412 SAR ",2022-02-06
Aeroflot,SVO,PAR,11h 30m ,1 stop ,"1,412 SAR ",2022-02-06
Aeroflot,SVO,PAR,13h 40m ,1 stop ,"1,412 SAR ",2022-02-06
Aeroflot,SVO,PAR,14h 20m ,1 stop ,"1,412 SAR ",2022-02-06
Multiple Airlines,SVO,PAR,22h 00m ,2 stops ,399 SAR ,2022-02-06
"Aeroflot, Lufthansa",SVO,PAR,10h 40m ,2 stops ,"4,858 SAR ",2022-02-06
"Aeroflot, Lufthansa",SVO,PAR,11h 45m ,2 stops ,"4,858 SAR ",2022-02-06
Qatar Airways,SVO,PAR,14h 25m ,1 stop ,"5,651 SAR ",2022-02-06
"Aeroflot, Kenya Airways",SVO,PAR,12h 50m ,2 stops ,"6,650 SAR ",2022-02-06
"Aeroflot, KLM",SVO,PAR,7h 55m ,1 stop ,"12,499 SAR ",2022-02-06
"Aeroflot, KLM",SVO,PAR,8h 00m ,1 stop ,"12,499 SAR ",2022-02-06
"Aeroflot, KLM",SVO,PAR,9h 15m ,1 stop ,"12,499 SAR ",2022-02-06
"Aeroflot, KLM",SVO,PAR,5h 50m ,1 stop ,"12,541 SAR ",2022-02-06
"Aeroflot, KLM",SVO,PAR,7h 25m ,1 stop ,"12,541 SAR ",2022-02-06
"Aeroflot, KLM",SVO,PAR,8h 15m ,1 stop ,"12,541 SAR ",2022-02-06
Air Serbia,SVO,PAR,15h 20m ,1 stop ,504 SAR ,2022-02-07
Air France,SVO,PAR,4h 10m ,nonstop ,618 SAR ,2022-02-07
Air Serbia,SVO,PAR,15h 20m ,1 stop ,430 SAR ,2022-02-07
Air France,SVO,PAR,4h 20m ,nonstop ,646 SAR ,2022-02-07
Aeroflot,SVO,PAR,4h 10m ,nonstop ,"1,055 SAR ",2022-02-07
Aeroflot,SVO,PAR,4h 10m ,nonstop ,"1,110 SAR ",2022-02-07
Finnair,SVO,PAR,6h 35m ,1 stop ,437 SAR ,2022-02-07
Finnair,SVO,PAR,10h 50m ,1 stop ,437 SAR ,2022-02-07
Finnair,SVO,PAR,14h 45m ,1 stop ,437 SAR ,2022-02-07
airBaltic,SVO,PAR,8h 55m ,1 stop ,483 SAR ,2022-02-07
LOT,SVO,PAR,6h 35m ,1 stop ,574 SAR ,2022-02-07
