Airline,Source,Destination,Duration,Total stops,Price,Date
Qatar Airways,SVO,RUH,8h 30m ,1 stop ,"1,623 SAR ",2022-02-01
Qatar Airways,SVO,RUH,8h 30m ,1 stop ,"1,531 SAR ",2022-02-01
"Aeroflot, flynas",SVO,RUH,20h 20m ,2 stops ,"1,415 SAR ",2022-02-01
"Aeroflot, flynas",SVO,RUH,15h 40m ,1 stop ,"1,439 SAR ",2022-02-01
"Aeroflot, Egypt Air",SVO,RUH,17h 00m ,1 stop ,"1,601 SAR ",2022-02-01
"Aeroflot, SAUDIA",SVO,RUH,14h 05m ,1 stop ,"1,658 SAR ",2022-02-01
"Aeroflot, Egypt Air",SVO,RUH,10h 30m ,1 stop ,"1,814 SAR ",2022-02-01
Qatar Airways,SVO,RUH,20h 30m ,1 stop ,"1,545 SAR ",2022-02-01
"Aeroflot, flynas",SVO,RUH,12h 00m ,1 stop ,"1,899 SAR ",2022-02-01
"Aeroflot, SAUDIA",SVO,RUH,13h 35m ,1 stop ,"1,956 SAR ",2022-02-01
"Aeroflot, Turkish Airlines",SVO,RUH,15h 20m ,1 stop ,"2,172 SAR ",2022-02-01
"Air France, SAUDIA",SVO,RUH,12h 25m ,1 stop ,"2,402 SAR ",2022-02-01
"Aeroflot, flydubai",SVO,RUH,11h 35m ,1 stop ,"2,541 SAR ",2022-02-01
"Aeroflot, Gulf Air",SVO,RUH,17h 30m ,2 stops ,"1,642 SAR ",2022-02-01
"Nordwind Airlines, Egypt Air",SVO,RUH,19h 00m ,2 stops ,"1,826 SAR ",2022-02-01
"Aeroflot, Egypt Air",SVO,RUH,18h 30m ,2 stops ,"1,828 SAR ",2022-02-01
Multiple Airlines,SVO,RUH,14h 40m ,2 stops ,"1,862 SAR ",2022-02-01
"Nordwind Airlines, Royal Jordanian",SVO,RUH,17h 30m ,2 stops ,"1,887 SAR ",2022-02-01
Multiple Airlines,SVO,RUH,14h 00m ,2 stops ,"2,309 SAR ",2022-02-01
